X1,Date,Type,Action,Links,Bill:,Congress-Session:
83,"February 04, 2021",status,Introduced in the House,167 Cong Rec H386,HJRes 24,117- 1
84,"February 04, 2021",referral,Referred to the House Committee on the Judiciary,167 Cong Rec H386,HJRes 24,117- 1
85,"October 19, 1993",status,Cosponsor(s) added,139 Cong Rec H 8203,HJRes 248,103- 1
86,"August 06, 1993",status,Cosponsor(s) added,139 Cong Rec H 6381,HJRes 248,103- 1
87,"August 04, 1993",status,Cosponsor(s) added,139 Cong Rec H 6049,HJRes 248,103- 1
88,"August 03, 1993",referral,Referred to the House Judiciary Committee,139 Cong Rec H 5740,HJRes 248,103- 1
89,"February 09, 2011",status,Introduced in the House,157 Cong Rec H599,HJRes 25,112- 1
90,"February 09, 2011",referral,Referred to the House Committee on the Judiciary.,157 Cong Rec H599,HJRes 25,112- 1
91,"February 13, 2007",referral,Referred to House Committee on the Judiciary,153 Cong Rec H1563,HJRes 30,110- 1
92,"February 13, 2007",status,Introduced in the House,153 Cong Rec H1563,HJRes 30,110- 1
93,"July 26, 1995",referral,Referred to the House Judiciary Committee,141 Cong Rec H 7801,HJRes 103,104- 1
94,"March 04, 2003",referral,Referred to House Committee on the Judiciary,149 Cong Rec H 1516,HJRes 34,108- 1
95,"May 28, 1952",status,Referred with Amendments Senate,NA,SJRes 158,82- 2
96,"May 26, 1952",status,Introduced in the Senate,NA,SJRes 158,82- 2
97,"June 09, 2005",referral,Referred to House Committee on the Judiciary,151 Cong Rec H 4355,HJRes 53,109- 1
98,"May 08, 2008",referral,Referred to the House Committee on the Judiciary.,154 Cong Rec H3403,HJRes 83,110- 2
99,"May 08, 2008",status,Introduced to the House,154 Cong Rec H3403,HJRes 83,110- 2
100,"February 12, 1997",status,Remarks by Rep. White WA,143 Cong Rec E 243,HJRes 3,105- 1
101,"January 09, 1997",referral,Referred to the House Judiciary Committee,143 Cong Rec H 153,HJRes 3,105- 1
102,"November 16, 1970",status,Laid on Table in Senate,NA,HJRes 264,91- 2
103,"November 16, 1970",status,Ordered to be Printed House,NA,HJRes 264,91- 2
104,"October 14, 1970",status,Laid on Table in Senate,NA,HJRes 264,91- 2
105,"October 14, 1970",status,Ordered to be Printed House,NA,HJRes 264,91- 2
106,"October 13, 1970",status,Ordered to be Printed House,NA,HJRes 264,91- 2
107,"October 13, 1970",status,Laid on Table in Senate,NA,HJRes 264,91- 2
108,"October 12, 1970",status,Ordered to be Printed House,NA,HJRes 264,91- 2
109,"October 12, 1970",status,Laid on Table in Senate,NA,HJRes 264,91- 2
110,"October 12, 1970",status,Ordered to be Printed Senate,NA,HJRes 264,91- 2
111,"October 09, 1970",status,Ordered to be Printed House,NA,HJRes 264,91- 2
112,"October 09, 1970",status,Ordered to be Printed Senate,NA,HJRes 264,91- 2
113,"October 09, 1970",status,Laid on Table in Senate,NA,HJRes 264,91- 2
114,"October 08, 1970",status,Ordered to be Printed Senate,NA,HJRes 264,91- 2
115,"October 08, 1970",status,Ordered to be Printed House,NA,HJRes 264,91- 2
116,"October 06, 1970",status,Laid on Table in Senate,NA,HJRes 264,91- 2
117,"October 06, 1970",status,Ordered to be Printed House,NA,HJRes 264,91- 2
118,"October 02, 1970",status,Laid on Table in Senate,NA,HJRes 264,91- 2
119,"October 01, 1970",status,Ordered to be Printed House,NA,HJRes 264,91- 2
120,"October 01, 1970",status,Laid on Table in Senate,NA,HJRes 264,91- 2
121,"September 28, 1970",status,Laid on Table in Senate,NA,HJRes 264,91- 2
122,"September 23, 1970",status,Laid on Table in Senate,NA,HJRes 264,91- 2
123,"September 23, 1970",status,Ordered to be Printed House,NA,HJRes 264,91- 2
124,"August 28, 1970",status,Laid on Table in Senate,NA,HJRes 264,91- 2
125,"August 28, 1970",status,Ordered to be Printed House,NA,HJRes 264,91- 2
126,"August 11, 1970",status,Referred to Committee House,NA,HJRes 264,91- 2
127,"August 11, 1970",status,Received in Senate,NA,HJRes 264,91- 2
128,"August 11, 1970",status,Placed on Calendar Senate,NA,HJRes 264,91- 2
129,"August 10, 1970",status,Committee Discharged House,NA,HJRes 264,91- 2
130,Session 1,NA,NA,NA,HJRes 264,91- 2
131,"August 10, 1969",status,Considered and Passed House,NA,HJRes 264,91- 2
132,"January 16, 1969",status,Introduced in the House,NA,HJRes 264,91- 2
133,"April 10, 2000",referral,Referred to the House Committee on the Judiciary,146 Cong Rec H 2012,HJRes 97,106- 2
134,"January 07, 1999",referral,Referred to the House Committee on the Judiciary,145 Cong Rec H 243,HJRes 16,106- 1
135,"September 22, 1893",status,Referred to Committee House,NA,HRes 52,53- 1
136,"June 11, 2003",referral,Referred to House Committee on the Judiciary,149 Cong Rec H 5265,HJRes 59,108- 1
137,"April 09, 2008",referral,Referred to the Senate Committee on the Judiciary.,154 Cong Rec S2817,SJRes 31,110- 2
138,"April 09, 2008",status,Introduced to the Senate,154 Cong Rec S2817,SJRes 31,110- 2
139,"January 04, 2021",status,Introduced in the House,167 Cong Rec H50,HJRes 11,117- 1
140,"January 04, 2021",referral,Referred to the House Committee on the Judiciary,167 Cong Rec H50,HJRes 11,117- 1
141,"April 13, 2000",referral,Referred to the Senate Committee on the Judiciary,146 Cong Rec S 2728,SJRes 45,106- 2
142,"April 13, 2000",status,"Remarks by Sen. ASHCROFT, JOHN D (R-MO)",146 Cong Rec S 2770,SJRes 45,106- 2
143,"January 04, 1995",referral,Referred to the House Judiciary Committee,141 Cong Rec H 176,HJRes 46,104- 1
144,"January 05, 1892",status,Referred to Committee House,NA,HRes 3,52- 1
145,"March 02, 1989",referral,Referred to House Committee on the Judiciary,135 Cong Rec H 528,HJRes 172,101- 1
146,"January 04, 1888",status,Referred to Committee House,NA,HRes 8,50- 1
147,"September 11, 1893",status,Referred to Committee House,NA,HRes 38,53- 1
148,"May 08, 1991",referral,Referred to the House Judiciary Committee,137 Cong Rec H 2811,HJRes 246,102- 1
149,"February 04, 1997",referral,Referred to the House Judiciary Committee,143 Cong Rec H 285,HJRes 37,105- 1
150,"March 13, 1947",status,Ordered to be Printed House,NA,HJRes 27,80- 1
151,"February 21, 1947",status,Reported in Senate,NA,HJRes 27,80- 1
152,"February 07, 1947",status,Referred to Committee House,NA,HJRes 27,80- 1
153,"February 05, 1947",status,Ordered to be Printed House,NA,HJRes 27,80- 1
154,"January 03, 1947",status,Introduced in the House,NA,HJRes 27,80- 1
155,"January 18, 2007",status,Introduced in the House,153 Cong Rec H759,HJRes 19,110- 1
156,"January 18, 2007",referral,Referred to House Committee on the Judiciary,153 Cong Rec H759,HJRes 19,110- 1
157,"February 04, 2015",status,Introduced in the Senate,161 Cong Rec S772,SJRes 7,114- 1
158,"February 04, 2015",referral,Referred to the Senate Committee on the Judiciary,161 Cong Rec S772,SJRes 7,114- 1
159,"March 21, 2019",status,Introduced in the House,165 Cong Rec H2761,HJRes 52,116- 1
160,"March 21, 2019",referral,Referred to the House Committee on the Judiciary,165 Cong Rec H2761,HJRes 52,116- 1
161,"February 14, 2011",status,Introduced in the House,157 Cong Rec H774,HJRes 29,112- 1
162,"February 14, 2011",referral,Referred to the House Committee on the Judiciary.,157 Cong Rec H774,HJRes 29,112- 1
163,"December 10, 1883",status,Referred to Committee Senate,NA,SRes 24,48- 1
164,"February 13, 2007",referral,Referred to House Committee on the Judiciary,153 Cong Rec H1563,HJRes 34,110- 1
165,"February 13, 2007",status,Introduced in the House,153 Cong Rec H1563,HJRes 34,110- 1
166,"March 19, 1991",status,Remarks by Rep. Coleman,137 Cong Rec E 981,HJRes 193,102- 1
167,"March 19, 1991",referral,Referred to the House Judiciary Committee,137 Cong Rec H 1849,HJRes 193,102- 1
168,"July 26, 1989",status,Cosponsors added,135 Cong Rec H 4353,HJRes 340,101- 1
169,"June 28, 1989",referral,Referred to the House Judiciary Committee,135 Cong Rec H 3317,HJRes 340,101- 1
170,"January 09, 2019",status,Introduced in the House,165 Cong Rec H358,HJRes 24,116- 1
171,"January 09, 2019",referral,Referred to the House Committee on the Judiciary ¨H359 ­,165 Cong Rec H358,HJRes 24,116- 1
172,"April 22, 2021",status,Introduced in the House,167 Cong Rec H2107,HJRes 43,117- 1
173,"April 22, 2021",referral,Referred to the House Committee on the Judiciary,167 Cong Rec H2107,HJRes 43,117- 1
174,"April 10, 2000",referral,Referred to the House Committee on the Judiciary,146 Cong Rec H 2012,HJRes 96,106- 2
0,"April 18, 1996",status,Cosponsor(s) added,142 Cong Rec H 3650,HJRes 167,104- 2
1,"March 21, 1996",referral,Referred to the House Judiciary Committee,142 Cong Rec H 2665,HJRes 167,104- 2
2,"January 03, 2017",status,Introduced in the House,163 Cong Rec H45,HJRes 12,115- 1
3,"January 03, 2017",referral,Referred to the House Committee on the Judiciary,163 Cong Rec H45,HJRes 12,115- 1
4,"January 03, 2013",status,Introduced in the House,159 Cong Rec H33,HJRes 7,113- 1
5,"January 03, 2013",referral,Referred to the House Committee on the Judiciary,159 Cong Rec H33,HJRes 7,113- 1
6,"September 09, 1970",status,Referred to Committee Senate,NA,SJRes 233,91- 2
7,"August 28, 1970",status,Introduced in the Senate,NA,SJRes 233,91- 2
8,"December 11, 1884",status,Referred to Committee House,NA,HRes 299,48- 2
