id,source_citation,source_group,title_or_description_from_source,date,congress,congressional_session,joint_resolution_chamber,joint_resolution_number,sponsor_name,sponsor_state_or_territory,committee_of_referral,text_of_amendment,ratified_yn,ratified_amendment,notes,constitute_topic1,constitute_topic2,constitute_topic3,constitute_topic4,constitute_topic5,constitute_topic6,constitute_topic7,constitute_topic8,constitute_topic9
11937,"Republican Party Platforms, Republican Party Platform of 1976 Online by Gerhard Peters and John T. Woolley, The American Presidency Project",Party Platforms,Allowing prayer in public schools,1976-08-18,NA,NA,NA,NA,Republican Party Platform of 1976,NA,NA,Local communities wishing to conduct non-sectarian prayers in their public schools should be able to do so. We favor a constitutional amendment to achieve this end.,n,NA,NA,freerel,NA,NA,NA,NA,NA,NA,NA,NA
2026,"Ames, Herman V. The Proposed Amendments to the Constitution of the United States During the First Century of Its History, American Historical Society Annual Report for the year 1896; H. Doc. 353 part 2, 54th Cong., 2d Session, volume 3550-2, Washington: U.S. Government Printing Office, 1897.",NARA,Respecting the establishment of religion and free public schools,1888-05-25,50,1,NA,NA,Blair,New Hampshire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2047,"Tansill, Charles C. Proposed Amendments to the Constitution of the United States Introduced in Congress from December 4, 1889 to July 2, 1926, S. Doc. No. 93, 69th Cong. 1st Sess., Washington: U.S. Government Printing Office, 1926.",NARA,Regarding establishment of religion and free public schools,1889-12-09,51,1,NA,NA,Blair,New Hampshire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11985,"The Silverton Journal, Volume 3, Issue 25, 24 April 1914",White Supremacy and its Opponents,Anti-Catholic,1914-07-10,NA,NA,NA,NA,Unspecified Group in Missouri,NA,NA,"1. No person shall hold any office under the United State or any State, City or Town of its Territories and Possessions win owes allegience [sic] to any foreign king, county or individual, regardless of his being a natural or naturalized citizen of the United States. 
2. Each State, Territory and Possession shall maintain Free Public Schools and shall not employ in, or appoint or elect as supervisors over them any person who owes allegiance to any foreign king, country or individual. 3. The American Flag shall be raised each day with prescribed ceremony over every National, State and Municipal building, also every church and it shall be raised and lowered each day with patriotic ceremony accompanied by singing of the ""star Spangled Banner"" over every school and college within the boundaries of the United States its territories and possessions. 
4. In order to preserve our liberties and those of future generations, all Jesuits shall be expelled from the boundaries of the United States its territories and possessions. Also that all convents and nunneries be abolished and the inmates given their freedom and released from their vows. 
5. In order to protect and safeguard certain of our people, every priest, bishop, cardinal or archbishop, officiating as such, and any who in future may be ordained as priests of the Roman Catholic church and allowed to hear confessions shall either marry or submit to castration, this to include the United States, its territories and possessions.",n,NA,NA,edfree+,flag,anthem,equalgr6-,NA,NA,NA,NA,NA
5348,"Proposed Amendments to the Constitution of the United States Introduced in Congress from the 69th Congress, 2d Session through the 87th Congress, 2d Session, December 6, 1926 to January 3, 1963, S. Doc. No. 163, 87th Cong. 2d Sess., Washington: U.S. Government Printing Office, 1963.",NARA,Proposal to permit the use of prayer in public schools,1962-06-26,87,NA,NA,NA,Robertson,Virginia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5349,"Proposed Amendments to the Constitution of the United States Introduced in Congress from the 69th Congress, 2d Session through the 87th Congress, 2d Session, December 6, 1926 to January 3, 1963, S. Doc. No. 163, 87th Cong. 2d Sess., Washington: U.S. Government Printing Office, 1963.",NARA,Proposal to permit the offering of prayers in public schools,1962-06-27,87,NA,NA,NA,Beall,Maryland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5350,"Proposed Amendments to the Constitution of the United States Introduced in Congress from the 69th Congress, 2d Session through the 87th Congress, 2d Session, December 6, 1926 to January 3, 1963, S. Doc. No. 163, 87th Cong. 2d Sess., Washington: U.S. Government Printing Office, 1963.",NARA,Proposal to permit the use of prayer in public schools,1962-07-03,87,NA,NA,NA,Stennis,Washington,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5351,"Proposed Amendments to the Constitution of the United States Introduced in Congress from the 69th Congress, 2d Session through the 87th Congress, 2d Session, December 6, 1926 to January 3, 1963, S. Doc. No. 163, 87th Cong. 2d Sess., Washington: U.S. Government Printing Office, 1963.",NARA,"Proposal permitting the offering of prayers and reading of the Bible in public schools in the United States, and relating to the right of a State to enact legislation on the basis of its own public policy on questions of decency and morality",1962-06-29,87,NA,NA,NA,Eastland,Mississippi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5627,"Proposed Amendments to the Constitution of the United States Introduced in Congress from the 69th Congress, 2d Session through the 87th Congress, 2d Session, December 6, 1926 to January 3, 1963, S. Doc. No. 163, 87th Cong. 2d Sess., Washington: U.S. Government Printing Office, 1963.",NARA,Proposal relating to Supreme Court decision on prayers,1962-06-26,87,NA,NA,NA,Becker,New York,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5628,"Proposed Amendments to the Constitution of the United States Introduced in Congress from the 69th Congress, 2d Session through the 87th Congress, 2d Session, December 6, 1926 to January 3, 1963, S. Doc. No. 163, 87th Cong. 2d Sess., Washington: U.S. Government Printing Office, 1963.",NARA,Proposal providing that the offering of nonsectarian prayers or any other nonsectarian recognition of God shall be permitted in public schools and other public places,1962-06-26,87,NA,NA,NA,Johnson,Maryland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
